artist,album,score,genres
Timber Timbre,Creep On Creepin' On,6.7,Folk/Country
Dr. Dre,Compton,8.8,Rap
Black Moth Super Rainbow,Cobra Juicy,7.6,Electronic
MGMT,Congratulations,6.8,Rock
Daymé Arocena,Cubafonía,7.6,Global
Lil Peep,"""Come Over When You're Sober, Pt. 2""",7.2,Rap
The Strokes,Comedown Machine,6.1,Rock
Gorguts,Colored Sands,8.2,
Mount Kimbie,Cold Spring Fault Less Youth,7.7,Electronic
SZA,Ctrl,8.4,Pop/R&B
Migos,Culture II,6.4,Rap
Blood Orange,Cupid Deluxe,8.5,Pop/R&B
Twin Shadow,Confess,8.6,Rock
The Radio Dept.,Clinging To A Scheme,8.3,Pop/R&B
Cults,Cults,6.6,Rock
Tame Impala,Currents,9.3,Rock
Abe Vigoda,Crush,7.8,"Experimental,Rock"
Death Cab for Cutie,Codes and Keys,5.0,Rock
Ab-Soul,Control System,8.1,Rap
Czarface & Ghostface Killah,Czarface Meets Ghostface,SCORE ERROR,GENRES ERROR
Rotten Sound,Cursed,SCORE ERROR,GENRES ERROR
Big Blood,Dark Country Magic,SCORE ERROR,GENRES ERROR
CZARFACE & MF DOOM,Czarface Meets Metal Face,6.4,Rap
Dangermouse and Sparklehorse,Dark Night of the Soul,SCORE ERROR,GENRES ERROR
Circles Takes the Square,Decompositions: Volume Number One,SCORE ERROR,GENRES ERROR
Trap Them,Darker Handcraft,SCORE ERROR,GENRES ERROR
Anna von Hausswolff,Dead Magic,SCORE ERROR,GENRES ERROR
6ix9ine,Day69,SCORE ERROR,GENRES ERROR
Cattle Decapitation,Death Atlas,SCORE ERROR,GENRES ERROR
Travi$ Scott,Days Before Rodeo,SCORE ERROR,GENRES ERROR
Felix Blume,Death In Haiti: Funeral Brass Bands & Sounds From Port Au Prince,SCORE ERROR,GENRES ERROR
Lord Mantis,Death Mask,SCORE ERROR,GENRES ERROR
Young Fathers,Dead,SCORE ERROR,GENRES ERROR
Teenage Cool Kids,Denton After Sunset,SCORE ERROR,GENRES ERROR
Deftones,Diamond Eyes,SCORE ERROR,GENRES ERROR
Wormrot,Dirge,SCORE ERROR,GENRES ERROR
Noveller,Desert Fires,SCORE ERROR,GENRES ERROR
Beady Eye,"""Different Gear, Still Speeding""",SCORE ERROR,GENRES ERROR
The Orwells,Disgracedland,SCORE ERROR,GENRES ERROR
Twitching Tongues,Disharmony,SCORE ERROR,GENRES ERROR
Ed Sheeran,Divide,SCORE ERROR,GENRES ERROR
Ibibio Sound Machine,Doko Mien,SCORE ERROR,GENRES ERROR
Emeralds,Does It Look Like I'm Here?,SCORE ERROR,GENRES ERROR
Oliver Tree,Do You Feel Me?,SCORE ERROR,GENRES ERROR
Dos Monos,Dos City,SCORE ERROR,GENRES ERROR
Juice WRLD,Death Race for Love,6.8,Rap
Squarepusher,Damogen Furies,7.3,Electronic
Lizzo,Cuz I Love You,6.5,"Pop/R&B,Rap"
Big Sean,Dark Sky Paradise,7.1,Rap
Kendrick Lamar,DAMN.,9.2,Rap
Playboi Carti,Die Lit,8.5,Rap
Deerhoof,Deerhoof vs Evil,6.7,Experimental
The Tallest Man On Earth,Dark Bird Is Home,6.7,Folk/Country
J.I.D,DiCaprio 2,7.7,Rap
Tony Molina,Dissed and Dismissed,7.5,Rock
Smokepurpp,Deadstar,6.2,Rap
Ariel Pink,Dedicated to Bobby Jameson,8.2,Rock
Carly Rae Jepsen,Dedicated,7.3,Pop/R&B
Dr. Yen Lo,Days With Dr. Yen Lo,8.0,Rap
Foxing,Dealer,7.6,Rock
High On Fire,De Vermis Mysteriis,8.2,Metal
The Dillinger Escape Plan,Dissociation,6.9,Metal
Joanna Newsom,Divers,8.5,Folk/Country
Jessie Ware,Devotion,8.5,Pop/R&B
Janelle Monáe,Dirty Computer,7.7,Pop/R&B
Rejjie Snow,Dear Annie,5.5,Rap
Ab-Soul,Do What Thou Wilt.,4.4,Rap
Beach House,Depression Cherry,8.4,Rock
Sleaford Mods,Divide & Exit,7.8,Rock
Shlohmo,Dark Red,5.9,Electronic
Pusha T,DAYTONA,8.3,Rap
Show Me the Body,Dog Whistle,6.8,Rock
Hellfyre Club,Dorner vs. Tookie,7.5,
Open Mike Eagle,Dark Comedy,8.0,Rap
